ABSLATIT,AIRDIST,AVELF,BUDDHA,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GOVSH61,GVR61,H60,HERF00,IPRICE1,LAAM,LANDLOCK,LIFE060,LT100CR,MALFAL66,NEWSTATE,OPENDEC1,OTHFRAC,P60,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,RERD,REVCOUP,SAFRICA,SIZE60,SPAIN,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS,y
3.269,5380,0.61037,0.27,0.6667,1,0.01,40.3624,32.95543,13.33214,0.026187,1,5,0,1.710549,0.02,7.258412,0.0281,0.14,0.0929,0.01,0.322686,61.59,0,0,54.3,0.8,0.62216,2,0.7645,0.309,0.96,3.11,0.4496,8140,0.034152,0.926,88,0.04,0,16.262958,0,1,0.1217,0,0,1,0.337988,4.06
38.816,1750,0.0025,0,0.1667,0,0,10.4181,141.8488,33.13247,0.005991,0,4,1,1.043452,0.062,7.533159,0.0138,0.13,0.0522,0.04,0.998002,62.74,0,0,63.7,0.69,0,0,0.5825,1,1,2.22,0.2914,8826,0.079878,0.361,92,0.28,0,16.618616,0,0,0,0,0,0.78,0,4.09
6.562,5800,0.690568,0.01,0.3333,1,0,18.8325,76.17235,8.972233,0.021886,1,3,0,1.693227,0.042,6.458338,0.0174,0.13,0.0656,0.01,0.380444,40.19,0,0,41.5,0.75,0.41678,2,0.298,0.009,0.71,5,0.4,96194,0.03336,0.986,98,0.28,0,17.932461,0,1,0.044,0.04,1,0.56,0.446525,4.45
35.712,140,0.00988,0.87,1,0,0,4.0014,272.176,113.0167,0.009468,1,5,0,0.739076,0.01,7.990915,0.0317,0.12,0.0803,0.09,0.671693,75.02,0,0,67.7,0.94,0,0,0.205,0,1,1.44,0.3023,94096,0.057356,0.067,118,0,0,19.442986,0,0,0,0,0,0.73,0,4.67
21.536,8760,0.3775,0,0.5,1,0,1178.2328,0,0.968715,0.03315,0,5,0,1.929781,0.035,6.282267,0.03,0.2,0.134,0,0.754614,62.95,0,1,45.7,0,0.76,2,0.8515,0,0.42,2.06,0.4759,481,0.033264,0.75,131,0,1,12.458134,0,0.7025,0.5,0,0,0.36,0.008366,4.74
13.77,4620,0.356949,0.95,0.3333,0,0,19.3578,86.4634,50.05057,0.025667,1,3,0,1.709102,0.025,6.849066,0.0181,0.12,0.0789,0.02,0.82902,52.81,0,0,52.7,0.28,0.57876,0,0.386,0.023,0.83,3.94,0.4561,26392,0.02747,0.92,75,0.44,0,17.029883,0,1,0.6276,0.04,1,1,0.593959,5.15
22.704,2940,0.236821,0.3,0.8333,1,0.3,0.322,3729.293,0,0.021764,1,5,0,1.243866,0.004,7.717351,0.0168,0.04,0.0162,0.04,0.80589,70.6,0,0,66,1,0.046,0,1.693,0.98,0.87,3.61,0.4089,3075,0.027968,0.041,116,0,0,15.748411,0,1,0,0,0,1,0,5.94
37.553,1150,0,0.16,0.1667,0,0.6,3.9487,310.6865,111.1199,0.018594,1,3,0,1.454187,0.051,6.806829,0.0352,0.15,0.0618,0.05,0.679174,65.71,0,0,54.2,0.89,0,2,0.4195,0,0.94,4.44,0.4195,25003,0.033276,0.234,110,0.4,0,16.93358,0,0,0,0,0,0.6,0,6.36
25.259,2130,0.255056,0.31,0.3333,0,0.31,2.9893,391.4445,0,0.021919,1,3,0,1.373716,0.1,7.135687,0.0142,0.22,0.1068,0.05,0.613066,59.21,0,0,65.4,1,0,2,0.608,0.99,0.96,5.17,0.4539,10792,0.024833,0.163,116,0.05,0,16.422248,0,0.3675,0,0,0,0.71,0,6.58
1.355,5300,0.321529,0.46,0.3333,1,0.15,0.3733,3081.967,0,0.016857,1,4,0,1.23256,0.003,7.413367,0.0334,0.08,0.0436,0.06,0.328758,86.98,0,0,63.7,1,0,2,2.461,0.713,1,4.5,0.4322,1634,0.020808,0.695,87,0,0,14.812154,0,1,0,0,0,1,1,6.91
